Prompt_ID,Prompt_Variant,Model_Label,Replicate,Prompt_File
neutral_Model_A_1,neutral,Model_A,1,prompts/compiled/neutral.txt
neutral_Model_A_2,neutral,Model_A,2,prompts/compiled/neutral.txt
neutral_Model_A_3,neutral,Model_A,3,prompts/compiled/neutral.txt
neutral_Model_B_1,neutral,Model_B,1,prompts/compiled/neutral.txt
neutral_Model_B_2,neutral,Model_B,2,prompts/compiled/neutral.txt
neutral_Model_B_3,neutral,Model_B,3,prompts/compiled/neutral.txt
positive_Model_A_1,positive,Model_A,1,prompts/compiled/positive.txt
positive_Model_A_2,positive,Model_A,2,prompts/compiled/positive.txt
positive_Model_A_3,positive,Model_A,3,prompts/compiled/positive.txt
positive_Model_B_1,positive,Model_B,1,prompts/compiled/positive.txt
positive_Model_B_2,positive,Model_B,2,prompts/compiled/positive.txt
positive_Model_B_3,positive,Model_B,3,prompts/compiled/positive.txt
negative_Model_A_1,negative,Model_A,1,prompts/compiled/negative.txt
negative_Model_A_2,negative,Model_A,2,prompts/compiled/negative.txt
negative_Model_A_3,negative,Model_A,3,prompts/compiled/negative.txt
negative_Model_B_1,negative,Model_B,1,prompts/compiled/negative.txt
negative_Model_B_2,negative,Model_B,2,prompts/compiled/negative.txt
negative_Model_B_3,negative,Model_B,3,prompts/compiled/negative.txt
confirm_prime_Model_A_1,confirm_prime,Model_A,1,prompts/compiled/confirm_prime.txt
confirm_prime_Model_A_2,confirm_prime,Model_A,2,prompts/compiled/confirm_prime.txt
confirm_prime_Model_A_3,confirm_prime,Model_A,3,prompts/compiled/confirm_prime.txt
confirm_prime_Model_B_1,confirm_prime,Model_B,1,prompts/compiled/confirm_prime.txt
confirm_prime_Model_B_2,confirm_prime,Model_B,2,prompts/compiled/confirm_prime.txt
confirm_prime_Model_B_3,confirm_prime,Model_B,3,prompts/compiled/confirm_prime.txt
